﻿KM,KM+M,lat,lon,H3_Res_8,H3_Res_9,H3_Res_10,H3_Res_11,location_name,marea,mcenter,memo
15,15+300.0,25.003975,121.4476,884ba0a093fffff,894ba0a093bffff,8a4ba0a09317fff,8b4ba0a09312fff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
15,15+400.0,25.00403,121.4466,884ba0a093fffff,894ba0a0907ffff,8a4ba0a0904ffff,8b4ba0a0904afff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
15,15+500.0,25.004086,121.4457,884ba0a091fffff,894ba0a0907ffff,8a4ba0a09047fff,8b4ba0a09043fff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
15,15+600.0,25.00414,121.4447,884ba0a091fffff,894ba0a0907ffff,8a4ba0a09057fff,8b4ba0a09055fff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
15,15+700.0,25.004195,121.4437,884ba0a091fffff,894ba0a0903ffff,8a4ba0a0900ffff,8b4ba0a0900dfff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
15,15+800.0,25.004251,121.4427,884ba0a091fffff,894ba0a0903ffff,8a4ba0a0902ffff,8b4ba0a0902afff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
15,15+900.0,25.004306,121.4417,884ba0a091fffff,894ba0a0903ffff,8a4ba0a09027fff,8b4ba0a09022fff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
16,16+000.0,25.004361,121.4407,884ba0a091fffff,894ba0a0913ffff,8a4ba0a0911ffff,8b4ba0a0911bfff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
16,16+100.0,25.004416,121.4397,884ba0a091fffff,894ba0a0913ffff,8a4ba0a09117fff,8b4ba0a09113fff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
16,16+200.0,25.004472,121.4387,884ba0a091fffff,894ba0a0913ffff,8a4ba0a09117fff,8b4ba0a09116fff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
