﻿KM,KM+M,lat,lon,H3_Res_8,H3_Res_9,H3_Res_10,H3_Res_11,location_name,marea,mcenter,memo
71,71+400.0,24.815031,121.0419,884ba012b9fffff,894ba012b8fffff,8a4ba012b8f7fff,8b4ba012b8f0fff,38,行動北區營運處,新竹營運中心,
71,71+500.0,24.814152,121.0417,884ba012b9fffff,894ba012b8fffff,8a4ba012b88ffff,8b4ba012b889fff,38,行動北區營運處,新竹營運中心,
71,71+600.0,24.813273,121.0415,884ba012b9fffff,894ba012b13ffff,8a4ba012b127fff,8b4ba012b124fff,38,行動北區營運處,新竹營運中心,
71,71+700.0,24.812393,121.0413,884ba012b1fffff,894ba012b13ffff,8a4ba012b137fff,8b4ba012b135fff,38,行動北區營運處,新竹營運中心,
71,71+800.0,24.811514,121.041,884ba012b1fffff,894ba012b13ffff,8a4ba012b117fff,8b4ba012b114fff,38,行動北區營運處,新竹營運中心,
71,71+900.0,24.810635,121.0408,884ba012b1fffff,894ba012b1bffff,8a4ba012b1a7fff,8b4ba012b1a5fff,38,行動北區營運處,新竹營運中心,
72,72+000.0,24.809755,121.0406,884ba012b1fffff,894ba012b1bffff,8a4ba012b1a7fff,8b4ba012b1a2fff,38,行動北區營運處,新竹營運中心,
72,72+100.0,24.808877,121.0404,884ba012b1fffff,894ba012b1bffff,8a4ba012b197fff,8b4ba012b195fff,38,行動北區營運處,新竹營運中心,
72,72+200.0,24.807998,121.0401,884ba012b1fffff,894ba012b1bffff,8a4ba012b197fff,8b4ba012b192fff,38,行動北區營運處,新竹營運中心,
72,72+300.0,24.807118,121.0399,884ba012b5fffff,894ba012b57ffff,8a4ba012b567fff,8b4ba012b563fff,38,行動北區營運處,新竹營運中心,
72,72+400.0,24.806239,121.0397,884ba012b5fffff,894ba012b57ffff,8a4ba012b547fff,8b4ba012b546fff,38,行動北區營運處,新竹營運中心,
72,72+500.0,24.80536,121.0395,884ba012b5fffff,894ba012b57ffff,8a4ba012b557fff,8b4ba012b551fff,38,行動北區營運處,新竹營運中心,
72,72+600.0,24.80448,121.0392,884ba012b5fffff,894ba012b43ffff,8a4ba012b42ffff,8b4ba012b42efff,38,行動北區營運處,新竹營運中心,
72,72+700.0,24.803601,121.039,884ba012b5fffff,894ba012b43ffff,8a4ba012b407fff,8b4ba012b400fff,38,行動北區營運處,新竹營運中心,
72,72+800.0,24.802722,121.0388,884ba012b5fffff,894ba012b43ffff,8a4ba012b41ffff,8b4ba012b411fff,38,行動北區營運處,新竹營運中心,
72,72+900.0,24.801842,121.0386,884ba012b5fffff,894ba012b4bffff,8a4ba012b4affff,8b4ba012b4adfff,38,行動北區營運處,新竹營運中心,
73,73+000.0,24.800963,121.0383,884ba012b5fffff,894ba012b4bffff,8a4ba012b487fff,8b4ba012b481fff,39,行動北區營運處,新竹營運中心,
73,73+100.0,24.800084,121.0381,884ba012b5fffff,894ba012b4bffff,8a4ba012b49ffff,8b4ba012b49cfff,39,行動北區營運處,新竹營運中心,
73,73+200.0,24.799204,121.0379,884ba012b5fffff,894ba012b4bffff,8a4ba012b49ffff,8b4ba012b49afff,39,行動北區營運處,新竹營運中心,
73,73+300.0,24.798325,121.0377,884ba010c9fffff,894ba010c87ffff,8a4ba010c86ffff,8b4ba010c86bfff,39,行動北區營運處,新竹營運中心,
73,73+400.0,24.797446,121.0374,884ba010c9fffff,894ba010c87ffff,8a4ba010c84ffff,8b4ba010c84efff,39,行動北區營運處,新竹營運中心,
73,73+500.0,24.796566,121.0372,884ba010c9fffff,894ba010c87ffff,8a4ba010c85ffff,8b4ba010c85afff,39,行動北區營運處,新竹營運中心,
73,73+600.0,24.795687,121.037,884ba010c9fffff,894ba010c8fffff,8a4ba010c8effff,8b4ba010cbb6fff,39,行動北區營運處,新竹營運中心,
73,73+700.0,24.794808,121.0368,884ba010c9fffff,894ba010c8fffff,8a4ba010c8cffff,8b4ba010c8c8fff,39,行動北區營運處,新竹營運中心,
73,73+715.2,24.794674,121.0367,884ba010c9fffff,894ba010c8fffff,8a4ba010c8cffff,8b4ba010c8cafff,39,行動北區營運處,新竹營運中心,
73,73+800.0,24.793928,121.0365,884ba010c1fffff,894ba010c8fffff,8a4ba010c8dffff,8b4ba010c8d9fff,39,行動北區營運處,新竹營運中心,
73,73+900.0,24.793049,121.0363,884ba010c1fffff,894ba010c17ffff,8a4ba010c177fff,8b4ba010c170fff,39,行動北區營運處,新竹營運中心,
74,74+000.0,24.792168,121.0361,884ba010c1fffff,894ba010c13ffff,8a4ba010c10ffff,8b4ba010c109fff,39,行動北區營運處,新竹營運中心,
74,74+100.0,24.791285,121.0359,884ba010c1fffff,894ba010c03ffff,8a4ba010c027fff,8b4ba010c024fff,39,行動北區營運處,新竹營運中心,
74,74+115.2,24.791151,121.0359,884ba010c1fffff,894ba010c03ffff,8a4ba010c027fff,8b4ba010c026fff,39,行動北區營運處,新竹營運中心,
74,74+200.0,24.7904,121.0357,884ba010c1fffff,894ba010c03ffff,8a4ba010c037fff,8b4ba010c035fff,39,行動北區營運處,新竹營運中心,
74,74+300.0,24.789514,121.0355,884ba010c1fffff,894ba010c03ffff,8a4ba010c017fff,8b4ba010c014fff,39,行動北區營運處,新竹營運中心,
74,74+349.2,24.789076,121.0354,884ba010c1fffff,894ba010c03ffff,8a4ba010c017fff,8b4ba010c016fff,39,行動北區營運處,新竹營運中心,
74,74+400.0,24.788624,121.0353,884ba010c1fffff,894ba010c0bffff,8a4ba010c0a7fff,8b4ba010c0a5fff,39,行動北區營運處,新竹營運中心,
74,74+500.0,24.787733,121.0352,884ba010c1fffff,894ba010c0bffff,8a4ba010c0a7fff,8b4ba010c0a2fff,39,行動北區營運處,新竹營運中心,
74,74+600.0,24.786841,121.035,884ba010c1fffff,894ba010c0bffff,8a4ba010c097fff,8b4ba010c095fff,39,行動北區營運處,新竹營運中心,
74,74+700.0,24.785948,121.0349,884ba010c5fffff,894ba010c0bffff,8a4ba010c097fff,8b4ba010c092fff,39,行動北區營運處,新竹營運中心,
74,74+749.2,24.78551,121.0348,884ba010c5fffff,894ba010c47ffff,8a4ba010c46ffff,8b4ba010c46cfff,39,行動北區營運處,新竹營運中心,
74,74+800.0,24.785056,121.0347,884ba010c5fffff,894ba010c47ffff,8a4ba010c46ffff,8b4ba010c46efff,39,行動北區營運處,新竹營運中心,
74,74+900.0,24.784163,121.0346,884ba010c5fffff,894ba010c47ffff,8a4ba010c447fff,8b4ba010c442fff,39,行動北區營運處,新竹營運中心,
75,75+000.0,24.783271,121.0344,884ba010c5fffff,894ba010c47ffff,8a4ba010c45ffff,8b4ba010c45efff,40,行動北區營運處,新竹營運中心,
75,75+100.0,24.782378,121.0343,884ba010c5fffff,894ba010c4fffff,8a4ba010c4effff,8b4ba010c4e8fff,40,行動北區營運處,新竹營運中心,
75,75+200.0,24.781485,121.0341,884ba010c5fffff,894ba010c4fffff,8a4ba010c4cffff,8b4ba010c4cefff,40,行動北區營運處,新竹營運中心,
75,75+242.2,24.781108,121.0341,884ba010c5fffff,894ba010c4fffff,8a4ba010c4dffff,8b4ba010c4ddfff,40,行動北區營運處,新竹營運中心,
75,75+300.0,24.780592,121.034,884ba010ebfffff,894ba010c4fffff,8a4ba010c4dffff,8b4ba010c4d8fff,40,行動北區營運處,新竹營運中心,
75,75+400.0,24.779699,121.0339,884ba010ebfffff,894ba010eb3ffff,8a4ba010eb77fff,8b4ba010eb76fff,40,行動北區營運處,新竹營運中心,
75,75+500.0,24.778807,121.0337,884ba010ebfffff,894ba010eb3ffff,8a4ba010eb0ffff,8b4ba010eb08fff,40,行動北區營運處,新竹營運中心,
75,75+600.0,24.777916,121.0335,884ba010ebfffff,894ba010eb3ffff,8a4ba010ea27fff,8b4ba010ea24fff,40,行動北區營運處,新竹營運中心,
75,75+700.0,24.777028,121.0334,884ba010ebfffff,894ba010ea3ffff,8a4ba010ea37fff,8b4ba010ea35fff,40,行動北區營運處,新竹營運中心,
75,75+742.2,24.776653,121.0333,884ba010ebfffff,894ba010ea3ffff,8a4ba010ea37fff,8b4ba010ea30fff,40(新城隧道)**,行動北區營運處,新竹營運中心,延伸段
75,75+800.0,24.776141,121.0332,884ba010ebfffff,894ba010ea3ffff,8a4ba010ea37fff,8b4ba010ea32fff,40(新城隧道)**,行動北區營運處,新竹營運中心,延伸段
75,75+900.0,24.775257,121.033,884ba010ebfffff,894ba010eabffff,8a4ba010eaa7fff,8b4ba010eaa5fff,40(新城隧道)**,行動北區營運處,新竹營運中心,延伸段
76,76+000.0,24.774377,121.0328,884ba010ebfffff,894ba010eabffff,8a4ba010eaa7fff,8b4ba010eaa2fff,40(新城隧道)**,行動北區營運處,新竹營運中心,
76,76+100.0,24.773499,121.0325,884ba010ebfffff,894ba010eabffff,8a4ba010eab7fff,8b4ba010eab3fff,40(新城隧道)**,行動北區營運處,新竹營運中心,
76,76+200.0,24.772625,121.0323,884ba010e1fffff,894ba010eabffff,8a4ba010ea97fff,8b4ba010ea96fff,40(新城隧道)**,行動北區營運處,新竹營運中心,
76,76+300.0,24.771756,121.032,884ba010e1fffff,894ba010e07ffff,8a4ba010e067fff,8b4ba010e063fff,40(新城隧道)**,行動北區營運處,新竹營運中心,
76,76+400.0,24.77089,121.0317,884ba010e1fffff,894ba010e07ffff,8a4ba010e047fff,8b4ba010e046fff,40(新城隧道)**,行動北區營運處,新竹營運中心,
76,76+500.0,24.770028,121.0314,884ba010e1fffff,894ba010e07ffff,8a4ba010e057fff,8b4ba010e050fff,40(新城隧道)**,行動北區營運處,新竹營運中心,延伸段
76,76+600.0,24.76917,121.0311,884ba010e1fffff,894ba010e0fffff,8a4ba010e0e7fff,8b4ba010e0e1fff,40(新城隧道)**,行動北區營運處,新竹營運中心,延伸段
76,76+700.0,24.768318,121.0308,884ba010e1fffff,894ba010e0fffff,8a4ba010e0c7fff,8b4ba010e0c4fff,40(新城隧道)**,行動北區營運處,新竹營運中心,延伸段
76,76+800.0,24.76747,121.0305,884ba010e1fffff,894ba010e0fffff,8a4ba010e0d7fff,8b4ba010e0d5fff,40,行動北區營運處,新竹營運中心,
76,76+900.0,24.766627,121.0301,884ba010e1fffff,894ba010e73ffff,8a4ba010e727fff,8b4ba010e725fff,40,行動北區營運處,新竹營運中心,
77,77+000.0,24.76579,121.0297,884ba010e7fffff,894ba010e73ffff,8a4ba010e727fff,8b4ba010e722fff,41,行動北區營運處,新竹營運中心,
77,77+100.0,24.764958,121.0294,884ba010e7fffff,894ba010e73ffff,8a4ba010e737fff,8b4ba010e733fff,41,行動北區營運處,新竹營運中心,
77,77+200.0,24.764132,121.029,884ba010e7fffff,894ba010e73ffff,8a4ba010e717fff,8b4ba010e716fff,41,行動北區營運處,新竹營運中心,
77,77+300.0,24.763311,121.0285,884ba010e7fffff,894ba010e7bffff,8a4ba010e7a7fff,8b4ba010e7a0fff,41,行動北區營運處,新竹營運中心,
77,77+400.0,24.762497,121.0281,884ba010e7fffff,894ba010e7bffff,8a4ba010e7b7fff,8b4ba010e7b0fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,延伸段
77,77+500.0,24.761689,121.0277,884ba010e5fffff,894ba010e7bffff,8a4ba010e4cffff,8b4ba010e4c9fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,延伸段
77,77+600.0,24.760888,121.0272,884ba011dbfffff,894ba010e4fffff,8a4ba011db67fff,8b4ba011db64fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,延伸段
77,77+700.0,24.760094,121.0267,884ba011dbfffff,894ba011db7ffff,8a4ba011db77fff,8b4ba011db75fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,
77,77+800.0,24.759306,121.0263,884ba011dbfffff,894ba011db3ffff,8a4ba011db0ffff,8b4ba011db0dfff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,
77,77+900.0,24.758526,121.0258,884ba011dbfffff,894ba011db3ffff,8a4ba011db0ffff,8b4ba011db0efff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,
78,78+000.0,24.757753,121.0253,884ba011dbfffff,894ba011db3ffff,8a4ba011db1ffff,8b4ba011db18fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,
78,78+100.0,24.756987,121.0247,884ba011dbfffff,894ba011dbbffff,8a4ba011dbaffff,8b4ba011dba8fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,
78,78+200.0,24.756229,121.0242,884ba011dbfffff,894ba011dbbffff,8a4ba011db87fff,8b4ba011db81fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,
78,78+300.0,24.75548,121.0236,884ba011dbfffff,894ba011dbbffff,8a4ba011db87fff,8b4ba011db82fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,
78,78+400.0,24.754738,121.0231,884ba011dbfffff,894ba011dbbffff,8a4ba011db97fff,8b4ba011db93fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,
78,78+500.0,24.754005,121.0225,884ba011d1fffff,894ba011d17ffff,8a4ba011d167fff,8b4ba011d163fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,
78,78+600.0,24.75328,121.0219,884ba011d1fffff,894ba011d17ffff,8a4ba011d177fff,8b4ba011d171fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,延伸段
78,78+700.0,24.752564,121.0213,884ba011d1fffff,894ba011d17ffff,8a4ba011d177fff,8b4ba011d172fff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,延伸段
78,78+800.0,24.751856,121.0207,884ba011d1fffff,894ba011d13ffff,8a4ba011d10ffff,8b4ba011d10afff,41(高鐵新竹二高隧道)**,行動北區營運處,新竹營運中心,延伸段
78,78+900.0,24.751158,121.0201,884ba011d1fffff,894ba011d13ffff,8a4ba011d11ffff,8b4ba011d118fff,41,行動北區營運處,新竹營運中心,
79,79+000.0,24.75047,121.0194,884ba011d1fffff,894ba011d1bffff,8a4ba011d1affff,8b4ba011d1a9fff,42,行動北區營運處,新竹營運中心,
79,79+100.0,24.74979,121.0188,884ba011d1fffff,894ba011d1bffff,8a4ba011d187fff,8b4ba011d185fff,42,行動北區營運處,新竹營運中心,
79,79+200.0,24.74912,121.0181,884ba011d1fffff,894ba011d1bffff,8a4ba011d187fff,8b4ba011d182fff,42,行動北區營運處,新竹營運中心,
79,79+300.0,24.74846,121.0174,884ba011d1fffff,894ba011d1bffff,8a4ba011d197fff,8b4ba011d190fff,42,行動北區營運處,新竹營運中心,
79,79+400.0,24.74781,121.0168,884ba011d5fffff,894ba011d57ffff,8a4ba011d567fff,8b4ba011d564fff,42,行動北區營運處,新竹營運中心,
79,79+500.0,24.74717,121.0161,884ba011d5fffff,894ba011d57ffff,8a4ba011dcdffff,8b4ba011dcdbfff,42,行動北區營運處,新竹營運中心,
79,79+600.0,24.74654,121.0154,884ba011d5fffff,894ba011d53ffff,8a4ba011d52ffff,8b4ba011d529fff,42,行動北區營運處,新竹營運中心,
79,79+700.0,24.745921,121.0146,884ba011d5fffff,894ba011d53ffff,8a4ba011d507fff,8b4ba011d501fff,42(洽水隧道)**,行動北區營運處,新竹營運中心,延伸段
79,79+800.0,24.745312,121.0139,884ba011d5fffff,894ba011d53ffff,8a4ba011d507fff,8b4ba011d502fff,42(洽水隧道)**,行動北區營運處,新竹營運中心,延伸段
79,79+900.0,24.744714,121.0132,884ba011d5fffff,894ba011d53ffff,8a4ba011d517fff,8b4ba011d510fff,42(洽水隧道)**,行動北區營運處,新竹營運中心,延伸段
80,80+000.0,24.744127,121.0124,884ba011d5fffff,894ba011d5bffff,8a4ba011d5a7fff,8b4ba011d5a4fff,42(洽水隧道)**,行動北區營運處,新竹營運中心,
80,80+100.0,24.743551,121.0116,884ba011c3fffff,894ba011d5bffff,8a4ba011c25ffff,8b4ba011c25bfff,42(洽水隧道)**,行動北區營運處,新竹營運中心,
80,80+200.0,24.742986,121.0109,884ba011c3fffff,894ba011c2fffff,8a4ba011c2effff,8b4ba011c2e9fff,42(洽水隧道)**,行動北區營運處,新竹營運中心,延伸段
80,80+300.0,24.742432,121.0101,884ba011c3fffff,894ba011c2fffff,8a4ba011c2c7fff,8b4ba011c2c5fff,42(洽水隧道)**,行動北區營運處,新竹營運中心,延伸段
80,80+400.0,24.74189,121.0093,884ba011c3fffff,894ba011c2fffff,8a4ba011c2c7fff,8b4ba011c2c6fff,42(洽水隧道)**,行動北區營運處,新竹營運中心,延伸段
80,80+500.0,24.74136,121.0085,884ba011c3fffff,894ba011c2fffff,8a4ba011c2d7fff,8b4ba011c289fff,42(寶山一號隧道)**,行動北區營運處,新竹營運中心,延伸段
80,80+600.0,24.740841,121.0077,884ba011c3fffff,894ba011c2bffff,8a4ba011c28ffff,8b4ba011c28afff,42(寶山一號隧道)**,行動北區營運處,新竹營運中心,延伸段
80,80+636.0,24.740656,121.0074,884ba011c3fffff,894ba011c2bffff,8a4ba011c29ffff,8b4ba011c29dfff,42(寶山一號隧道)**,行動北區營運處,新竹營運中心,
80,80+700.0,24.740333,121.0069,884ba011c3fffff,894ba011c2bffff,8a4ba011c29ffff,8b4ba011c29cfff,42(寶山一號隧道)**,行動北區營運處,新竹營運中心,
80,80+800.0,24.739839,121.0061,884ba011c7fffff,894ba011c2bffff,8a4ba011c297fff,8b4ba011c293fff,42(寶山一號隧道)**,行動北區營運處,新竹營運中心,
80,80+900.0,24.739353,121.0052,884ba011c7fffff,894ba011c67ffff,8a4ba011c667fff,8b4ba011c660fff,42(寶山一號隧道)**,行動北區營運處,新竹營運中心,
81,81+000.0,24.738873,121.0044,884ba011c7fffff,894ba011c67ffff,8a4ba011c677fff,8b4ba011c675fff,43(寶山一號隧道)**,行動北區營運處,新竹營運中心,
81,81+100.0,24.738397,121.0035,884ba011c7fffff,894ba011c63ffff,8a4ba011c62ffff,8b4ba011c629fff,42(寶山一號隧道)**,行動北區營運處,新竹營運中心,延伸段
81,81+186.0,24.737988,121.0028,884ba011c7fffff,894ba011c63ffff,8a4ba011c62ffff,8b4ba011c62afff,42(寶山一號隧道)**,行動北區營運處,新竹營運中心,延伸段
81,81+200.0,24.737922,121.0027,884ba011c7fffff,894ba011c63ffff,8a4ba011c607fff,8b4ba011c605fff,43(寶山一甲隧道)**,行動北區營運處,新竹營運中心,
81,81+300.0,24.737446,121.0019,884ba011c7fffff,894ba011c63ffff,8a4ba011c607fff,8b4ba011c606fff,43(寶山一甲隧道)**,行動北區營運處,新竹營運中心,
81,81+400.0,24.736971,121.001,884ba011c7fffff,894ba011c63ffff,8a4ba011c637fff,8b4ba011c632fff,43(寶山一甲隧道)**,行動北區營運處,新竹營運中心,
81,81+500.0,24.736496,121.0002,884ba011c7fffff,894ba011c7bffff,8a4ba011c78ffff,8b4ba011c788fff,43(寶山一甲隧道)**,行動北區營運處,新竹營運中心,延伸段
81,81+600.0,24.73602,120.9993,884ba011c7fffff,894ba011c7bffff,8a4ba011c79ffff,8b4ba011c79cfff,43(寶山一甲隧道)**,行動北區營運處,新竹營運中心,延伸段
81,81+700.0,24.735546,120.9985,884ba011c7fffff,894ba011c7bffff,8a4ba011c797fff,8b4ba011c790fff,43(寶山一甲隧道)**,行動北區營運處,新竹營運中心,延伸段
81,81+800.0,24.73507,120.9977,884ba011ebfffff,894ba011eb7ffff,8a4ba011eb67fff,8b4ba011eb65fff,43(寶山一乙隧道)**,行動北區營運處,新竹營運中心,延伸段
81,81+900.0,24.734595,120.9968,884ba011ebfffff,894ba011eb7ffff,8a4ba011c4dffff,8b4ba011c4dbfff,43(寶山一乙隧道)**,行動北區營運處,新竹營運中心,延伸段
82,82+000.0,24.73412,120.996,884ba011ebfffff,894ba011eb3ffff,8a4ba011eb2ffff,8b4ba011eb29fff,43(寶山一乙隧道)**,行動北區營運處,新竹營運中心,延伸段
82,82+100.0,24.733644,120.9951,884ba011ebfffff,894ba011eb3ffff,8a4ba011eb2ffff,8b4ba011eb2efff,43(寶山一乙隧道)**,行動北區營運處,新竹營運中心,
82,82+200.0,24.733169,120.9943,884ba011ebfffff,894ba011eb3ffff,8a4ba011eb07fff,8b4ba011eb31fff,43(寶山一乙隧道)**,行動北區營運處,新竹營運中心,
82,82+300.0,24.732693,120.9935,884ba011ebfffff,894ba011eb3ffff,8a4ba011eb37fff,8b4ba011eb32fff,43(寶山一乙隧道)**,行動北區營運處,新竹營運中心,延伸段
82,82+400.0,24.732218,120.9926,884ba011e9fffff,894ba011e87ffff,8a4ba011e84ffff,8b4ba011e84cfff,43(寶山一乙隧道)**,行動北區營運處,新竹營運中心,延伸段
82,82+500.0,24.731743,120.9918,884ba011e9fffff,894ba011e87ffff,8a4ba011e847fff,8b4ba011e843fff,43(寶山一乙隧道)**,行動北區營運處,新竹營運中心,延伸段
82,82+600.0,24.731267,120.9909,884ba011e9fffff,894ba011e87ffff,8a4ba011e857fff,8b4ba011e850fff,43(寶山二號隧道)**,行動北區營運處,新竹營運中心,延伸段
82,82+700.0,24.730793,120.9901,884ba011e9fffff,894ba011e83ffff,8a4ba011e8e7fff,8b4ba011e80bfff,43(寶山二號隧道)**,行動北區營運處,新竹營運中心,延伸段
82,82+800.0,24.730317,120.9893,884ba011e9fffff,894ba011e83ffff,8a4ba011e81ffff,8b4ba011e819fff,43(寶山二號隧道)**,行動北區營運處,新竹營運中心,
82,82+900.0,24.729842,120.9884,884ba011e9fffff,894ba011e83ffff,8a4ba011e8affff,8b4ba011e8adfff,43(寶山二號隧道)**,行動北區營運處,新竹營運中心,
83,83+000.0,24.729367,120.9876,884ba011e9fffff,894ba011e8bffff,8a4ba011e8affff,8b4ba011e8aefff,44(寶山二號隧道)**,行動北區營運處,新竹營運中心,
83,83+100.0,24.728891,120.9867,884ba011e9fffff,894ba011e8bffff,8a4ba011e8a7fff,8b4ba011e8a2fff,44(寶山二號隧道)**,行動北區營運處,新竹營運中心,
83,83+200.0,24.728416,120.9859,884ba011e9fffff,894ba011e8bffff,8a4ba011e8b7fff,8b4ba011e8b6fff,44(寶山二號隧道)**,行動北區營運處,新竹營運中心,
83,83+300.0,24.72794,120.9851,884ba011edfffff,894ba011ed7ffff,8a4ba011ed4ffff,8b4ba011ed4cfff,43(寶山二號隧道)**,行動北區營運處,新竹營運中心,延伸段
83,83+400.0,24.727465,120.9842,884ba011edfffff,894ba011ed7ffff,8a4ba011ed47fff,8b4ba011ed40fff,43(寶山二號隧道)**,行動北區營運處,新竹營運中心,延伸段
83,83+500.0,24.72699,120.9834,884ba011edfffff,894ba011ed7ffff,8a4ba011ed57fff,8b4ba011ed55fff,43(寶山二號隧道)**,行動北區營運處,新竹營運中心,延伸段
83,83+600.0,24.726514,120.9825,884ba011edfffff,894ba011ed3ffff,8a4ba011ed0ffff,8b4ba011ed0bfff,44,行動北區營運處,新竹營運中心,
83,83+700.0,24.726039,120.9817,884ba011edfffff,894ba011ed3ffff,8a4ba011ed1ffff,8b4ba011ed1dfff,44,行動北區營運處,新竹營運中心,
83,83+800.0,24.725564,120.9808,884ba011edfffff,894ba011ed3ffff,8a4ba011ed1ffff,8b4ba011ed1efff,44,行動北區營運處,新竹營運中心,
83,83+900.0,24.725088,120.98,884ba011edfffff,894ba011edbffff,8a4ba011eda7fff,8b4ba011eda1fff,43(寶山三號隧道)**,行動北區營運處,新竹營運中心,延伸段
84,84+000.0,24.724613,120.9792,884ba011edfffff,894ba011edbffff,8a4ba011eda7fff,8b4ba011eda2fff,43(寶山三號隧道)**,行動北區營運處,新竹營運中心,延伸段
84,84+100.0,24.724137,120.9783,884ba0113bfffff,894ba011edbffff,8a4ba011edb7fff,8b4ba011edb4fff,43(寶山三號隧道)**,行動北區營運處,新竹營運中心,延伸段
84,84+200.0,24.723662,120.9775,884ba0113bfffff,894ba0113afffff,8a4ba0113aeffff,8b4ba0113aeafff,44(寶山三號隧道)**,行動北區營運處,新竹營運中心,
84,84+300.0,24.723187,120.9766,884ba0113bfffff,894ba0113afffff,8a4ba0113ac7fff,8b4ba0113ac0fff,44(寶山三號隧道)**,行動北區營運處,新竹營運中心,
84,84+400.0,24.722711,120.9758,884ba0113bfffff,894ba0113afffff,8a4ba0113af7fff,8b4ba0113af3fff,44(寶山三號隧道)**,行動北區營運處,新竹營運中心,
84,84+500.0,24.722236,120.975,884ba0113bfffff,894ba0113abffff,8a4ba0113a8ffff,8b4ba0113a89fff,44(寶山三號隧道)**,行動北區營運處,新竹營運中心,
84,84+600.0,24.72176,120.9741,884ba0113bfffff,894ba0113abffff,8a4ba0113a9ffff,8b4ba0113a9dfff,43(寶山三號隧道)**,行動北區營運處,新竹營運中心,延伸段
84,84+700.0,24.721285,120.9733,884ba0113bfffff,894ba0113abffff,8a4ba0113a97fff,8b4ba0113a91fff,43(寶山三號隧道)**,行動北區營運處,新竹營運中心,延伸段
84,84+800.0,24.72081,120.9724,884ba01131fffff,894ba011307ffff,8a4ba0113a97fff,8b4ba0113a92fff,44(寶山四號隧道)**,行動北區營運處,新竹營運中心,
84,84+900.0,24.720334,120.9716,884ba01131fffff,894ba011307ffff,8a4ba0113067fff,8b4ba0113066fff,44(寶山四號隧道)**,行動北區營運處,新竹營運中心,
85,85+000.0,24.719859,120.9708,884ba01131fffff,894ba011307ffff,8a4ba011315ffff,8b4ba0113074fff,45(寶山四號隧道)**,行動北區營運處,新竹營運中心,
85,85+100.0,24.719383,120.9699,884ba01131fffff,894ba011303ffff,8a4ba011302ffff,8b4ba0113028fff,45(寶山四號隧道)**,行動北區營運處,新竹營運中心,
85,85+200.0,24.718908,120.9691,884ba01131fffff,894ba011303ffff,8a4ba0113007fff,8b4ba0113005fff,43(寶山四號隧道)**,行動北區營運處,新竹營運中心,延伸段
85,85+300.0,24.718433,120.9682,884ba01131fffff,894ba011303ffff,8a4ba0113037fff,8b4ba0113033fff,43(寶山四號隧道)**,行動北區營運處,新竹營運中心,延伸段
85,85+400.0,24.717957,120.9674,884ba01131fffff,894ba01131bffff,8a4ba011318ffff,8b4ba011318dfff,43(寶山四號隧道)**,行動北區營運處,新竹營運中心,延伸段
85,85+500.0,24.717482,120.9666,884ba01131fffff,894ba01131bffff,8a4ba011318ffff,8b4ba011318efff,45(寶山四甲隧道)**,行動北區營運處,新竹營運中心,
85,85+544.8,24.717269,120.9662,884ba01131fffff,894ba01131bffff,8a4ba0113187fff,8b4ba0113183fff,45(寶山四甲隧道)**,行動北區營運處,新竹營運中心,
85,85+600.0,24.717006,120.9657,884ba01131fffff,894ba01131bffff,8a4ba0113197fff,8b4ba0113191fff,45(寶山四甲隧道)**,行動北區營運處,新竹營運中心,
85,85+700.0,24.71653,120.9649,884ba01131fffff,894ba01131bffff,8a4ba0113197fff,8b4ba0113196fff,45(寶山四甲隧道)**,行動北區營運處,新竹營運中心,
85,85+800.0,24.716051,120.964,884ba01135fffff,894ba0113cfffff,8a4ba0113567fff,8b4ba0113564fff,43(寶山四甲隧道)**,行動北區營運處,新竹營運中心,延伸段
85,85+900.0,24.715566,120.9632,884ba01135fffff,894ba0113cfffff,8a4ba0113cdffff,8b4ba0113cdafff,45(寶山五號隧道)**,行動北區營運處,新竹營運中心,
85,85+944.8,24.715346,120.9628,884ba01135fffff,894ba0113cfffff,8a4ba011352ffff,8b4ba0113cdafff,45(寶山五號隧道)**,行動北區營運處,新竹營運中心,
86,86+000.0,24.715074,120.9624,884ba01135fffff,894ba011353ffff,8a4ba011352ffff,8b4ba0113528fff,45(寶山五號隧道)**,行動北區營運處,新竹營運中心,
86,86+100.0,24.714572,120.9616,884ba01135fffff,894ba011353ffff,8a4ba0113527fff,8b4ba0113523fff,45(寶山五號隧道)**,行動北區營運處,新竹營運中心,
